id,level,topic,question_zh,pinyin,question_vi,sample_answer_zh,sample_answer_pinyin,sample_answer_vi,answer_guide,focus_words
q_hsk1_011,HSK1,Đi lại,你明天去哪儿？,Nǐ míngtiān qù nǎr?,Ngày mai bạn đi đâu?,我明天去学校。,Wǒ míngtiān qù xuéxiào.,Ngày mai tôi đi đến trường.,Thời gian 明天 thường đặt sau chủ ngữ hoặc đầu câu.,明天 / 去
q_hsk1_012,HSK1,Lời mời,你现在想喝水吗？,Nǐ xiànzài xiǎng hē shuǐ ma?,Bây giờ bạn muốn uống nước không?,我现在不想喝水，我想喝茶。,"Wǒ xiànzài bù xiǎng hē shuǐ, wǒ xiǎng hē chá.","Bây giờ tôi không muốn uống nước, tôi muốn uống trà.",Phủ định mong muốn: 不想 + động từ.,现在 / 想 / 喝
q_hsk2_001,HSK2,Kế hoạch,你明天有什么计划？,Nǐ míngtiān yǒu shénme jìhuà?,Ngày mai bạn có kế hoạch gì?,我明天上午学习汉语，下午去运动。,"Wǒ míngtiān shàngwǔ xuéxí Hànyǔ, xiàwǔ qù yùndòng.","Sáng mai tôi học tiếng Trung, chiều đi vận động/thể thao.","Dùng 上午/下午 để câu rõ thời gian, nghe tự nhiên hơn.",明天 / 上午 / 下午
q_hsk2_002,HSK2,Kinh nghiệm,你去过北京吗？,Nǐ qù guo Běijīng ma?,Bạn đã từng đi Bắc Kinh chưa?,我没去过北京，但是我想去。,"Wǒ méi qù guo Běijīng, dànshì wǒ xiǎng qù.","Tôi chưa từng đi Bắc Kinh, nhưng tôi muốn đi.",Phủ định kinh nghiệm: 没 + động từ + 过.,去过 / 没 / 想
q_hsk2_003,HSK2,So sánh,你觉得汉语比英语难吗？,Nǐ juéde Hànyǔ bǐ Yīngyǔ nán ma?,Bạn thấy tiếng Trung khó hơn tiếng Anh không?,我觉得汉语比英语难，但是很有意思。,"Wǒ juéde Hànyǔ bǐ Yīngyǔ nán, dànshì hěn yǒu yìsi.","Tôi thấy tiếng Trung khó hơn tiếng Anh, nhưng rất thú vị.",Mẫu: 我觉得 + A 比 B + tính từ.,觉得 / 比 / 但是
q_hsk2_004,HSK2,Hỏi đường,从你家到学校远吗？,Cóng nǐ jiā dào xuéxiào yuǎn ma?,Từ nhà bạn đến trường có xa không?,不远，从我家到学校坐公共汽车二十分钟。,"Bù yuǎn, cóng wǒ jiā dào xuéxiào zuò gōnggòng qìchē èrshí fēnzhōng.","Không xa, từ nhà tôi đến trường đi xe buýt 20 phút.",Dùng 从...到... để nói từ đâu đến đâu.,从 / 到 / 分钟
q_hsk2_005,HSK2,Thói quen,你每天什么时候学习汉语？,Nǐ měitiān shénme shíhou xuéxí Hànyǔ?,Mỗi ngày bạn học tiếng Trung lúc nào?,我每天晚上八点的时候学习汉语。,Wǒ měitiān wǎnshang bā diǎn de shíhou xuéxí Hànyǔ.,Mỗi ngày khi 8 giờ tối tôi học tiếng Trung.,的时候 = khi/lúc. Đặt sau cụm thời gian hoặc hành động.,每天 / 的时候 / 学习
q_hsk2_006,HSK2,Lý do,你为什么学习汉语？,Nǐ wèishénme xuéxí Hànyǔ?,Tại sao bạn học tiếng Trung?,因为我想和中国人说话，所以我学习汉语。,"Yīnwèi wǒ xiǎng hé Zhōngguó rén shuōhuà, suǒyǐ wǒ xuéxí Hànyǔ.","Vì tôi muốn nói chuyện với người Trung Quốc, nên tôi học tiếng Trung.",Câu lý do tự nhiên: 因为...所以...,因为 / 所以 / 说话
q_hsk2_007,HSK2,Mua sắm,这件衣服怎么样？,Zhè jiàn yīfu zěnmeyàng?,Bộ quần áo này thế nào?,这件衣服很好看，但是有点儿贵。,"Zhè jiàn yīfu hěn hǎokàn, dànshì yǒudiǎnr guì.","Bộ quần áo này đẹp, nhưng hơi đắt.","有点儿 + tính từ thường dùng cho cảm giác hơi tiêu cực: hơi đắt, hơi mệt.",这件 / 但是 / 有点儿
q_hsk2_008,HSK2,Sức khỏe,你哪里不舒服？,Nǐ nǎlǐ bù shūfu?,Bạn khó chịu ở đâu?,我有点儿累，想回家休息一下。,"Wǒ yǒudiǎnr lèi, xiǎng huí jiā xiūxi yíxià.","Tôi hơi mệt, muốn về nhà nghỉ một chút.","休息一下 nghe nhẹ nhàng, tự nhiên hơn 休息.",有点儿 / 想 / 一下
q_hsk2_009,HSK2,Đang làm,你现在正在做什么？,Nǐ xiànzài zhèngzài zuò shénme?,Bây giờ bạn đang làm gì?,我现在正在写作业，写完以后去吃饭。,"Wǒ xiànzài zhèngzài xiě zuòyè, xiě wán yǐhòu qù chī fàn.","Bây giờ tôi đang làm bài tập, làm xong rồi đi ăn cơm.",正在 nhấn mạnh đang làm; 以后 = sau khi.,现在 / 正在 / 以后
q_hsk2_010,HSK2,Mời bạn,你周末想做什么？,Nǐ zhōumò xiǎng zuò shénme?,Cuối tuần bạn muốn làm gì?,我周末想和朋友一起去喝咖啡。,Wǒ zhōumò xiǎng hé péngyou yìqǐ qù hē kāfēi.,Cuối tuần tôi muốn cùng bạn đi uống cà phê.,一起 làm câu thân mật hơn: cùng nhau.,周末 / 一起 / 咖啡
q_hsk2_011,HSK2,Thời tiết,明天天气怎么样？,Míngtiān tiānqì zěnmeyàng?,Thời tiết ngày mai thế nào?,明天可能下雨，出门的时候别忘了带伞。,"Míngtiān kěnéng xià yǔ, chūmén de shíhou bié wàng le dài sǎn.","Ngày mai có thể mưa, khi ra ngoài đừng quên mang ô.",Có thể dùng 可能 để dự đoán; 的时候 chỉ thời điểm xảy ra hành động.,明天 / 可能 / 的时候
q_hsk2_012,HSK2,Cảm nhận,你觉得这个饭店怎么样？,Nǐ juéde zhège fàndiàn zěnmeyàng?,Bạn thấy nhà hàng này thế nào?,我觉得这个饭店的菜很好吃，服务员也很热情。,"Wǒ juéde zhège fàndiàn de cài hěn hǎochī, fúwùyuán yě hěn rèqíng.","Tôi thấy đồ ăn của nhà hàng này rất ngon, nhân viên phục vụ cũng rất nhiệt tình.",的 dùng để nối quan hệ: 饭店的菜 = đồ ăn của nhà hàng.,觉得 / 的 / 也
teacher_hsk1_0001,HSK1,Chào hỏi,你好吗？,Nǐ hǎo ma?,Bạn khỏe không?,我很好，谢谢。,"Wǒ hěn hǎo, xièxie.","Tôi khỏe, cảm ơn.",Có thể trả lời tốt/không tốt/bận/mệt. Người bản địa thường thêm 谢谢 để lịch sự.,我 / 很好 / 谢谢
teacher_hsk1_0002,HSK1,Tên họ,你姓什么？,Nǐ xìng shénme?,Bạn họ gì?,我姓阮。,Wǒ xìng Ruǎn.,Tôi họ Nguyễn.,Dùng 我姓 + họ. Nếu nói tên đầy đủ dùng 我叫 + tên.,我 / 姓
teacher_hsk1_0003,HSK1,Tên đầy đủ,你的名字是什么？,Nǐ de míngzi shì shénme?,Tên của bạn là gì?,我的名字是安。,Wǒ de míngzi shì Ān.,Tên của tôi là An.,Có thể nói ngắn hơn: 我叫安.,我的 / 名字 / 是
teacher_hsk1_0004,HSK1,Ngôn ngữ,你会说汉语吗？,Nǐ huì shuō Hànyǔ ma?,Bạn biết nói tiếng Trung không?,我会说一点儿汉语。,Wǒ huì shuō yìdiǎnr Hànyǔ.,Tôi biết nói một chút tiếng Trung.,一点儿 làm câu khiêm tốn và tự nhiên hơn.,我 / 会 / 说 / 汉语
teacher_hsk1_0005,HSK1,Nghề nghiệp,你爸爸做什么工作？,Nǐ bàba zuò shénme gōngzuò?,Bố bạn làm công việc gì?,我爸爸是医生。,Wǒ bàba shì yīshēng.,Bố tôi là bác sĩ.,Có thể trả lời bằng 是 + nghề nghiệp.,我爸爸 / 是 / 医生
teacher_hsk1_0006,HSK1,Thời gian học,你今天什么时候学习？,Nǐ jīntiān shénme shíhou xuéxí?,Hôm nay bạn học lúc nào?,我今天晚上学习。,Wǒ jīntiān wǎnshang xuéxí.,Tối nay tôi học.,Cụm thời gian thường đặt trước động từ: 今天晚上 + 学习.,我 / 今天 / 晚上 / 学习
teacher_hsk1_0007,HSK1,Ăn uống,你喜欢吃什么？,Nǐ xǐhuan chī shénme?,Bạn thích ăn gì?,我喜欢吃米饭和水果。,Wǒ xǐhuan chī mǐfàn hé shuǐguǒ.,Tôi thích ăn cơm và trái cây.,"和 nối danh từ, không nối hai mệnh đề dài.",我 / 喜欢 / 吃
teacher_hsk1_0008,HSK1,Uống gì,你想喝什么？,Nǐ xiǎng hē shénme?,Bạn muốn uống gì?,我想喝茶。,Wǒ xiǎng hē chá.,Tôi muốn uống trà.,想 + động từ diễn tả muốn làm gì.,我 / 想 / 喝
teacher_hsk1_0009,HSK1,Giá tiền,这个多少钱？,Zhège duōshao qián?,Cái này bao nhiêu tiền?,这个二十块。,Zhège èrshí kuài.,Cái này 20 tệ/đồng.,Trả lời số tiền + 块. Có thể thêm 太贵了 nếu thấy đắt.,这个 / 钱 / 块
teacher_hsk1_0010,HSK1,Thời tiết,今天天气怎么样？,Jīntiān tiānqì zěnmeyàng?,Thời tiết hôm nay thế nào?,今天天气很好，不冷也不热。,"Jīntiān tiānqì hěn hǎo, bù lěng yě bú rè.","Thời tiết hôm nay rất tốt, không lạnh cũng không nóng.",怎么样 hỏi đánh giá/cảm nhận.,今天 / 天气 / 很
teacher_hsk1_0011,HSK1,Hỏi đường đơn giản,学校在哪儿？,Xuéxiào zài nǎr?,Trường học ở đâu?,学校在前面。,Xuéxiào zài qiánmiàn.,Trường ở phía trước.,Địa điểm + 在 + phương vị.,学校 / 在 / 前面
teacher_hsk1_0012,HSK1,Đang làm gì,你现在做什么？,Nǐ xiànzài zuò shénme?,Bây giờ bạn đang làm gì?,我现在看书。,Wǒ xiànzài kàn shū.,Bây giờ tôi đọc sách.,"HSK1 có thể dùng 现在 + động từ, không bắt buộc thêm 正在.",我 / 现在 / 看书
teacher_hsk1_0013,HSK1,Gọi điện,你给谁打电话？,Nǐ gěi shéi dǎ diànhuà?,Bạn gọi điện cho ai?,我给妈妈打电话。,Wǒ gěi māma dǎ diànhuà.,Tôi gọi điện cho mẹ.,给 + người nhận + làm việc gì.,我 / 给 / 打电话
teacher_hsk1_0014,HSK1,Sinh nhật,你的生日是几月几号？,Nǐ de shēngrì shì jǐ yuè jǐ hào?,Sinh nhật của bạn là tháng mấy ngày mấy?,我的生日是五月一号。,Wǒ de shēngrì shì wǔ yuè yī hào.,Sinh nhật của tôi là ngày 1 tháng 5.,Ngày tháng: 月 + 号.,我的 / 生日 / 月 / 号
teacher_hsk1_0015,HSK1,Tuổi,你今年多大？,Nǐ jīnnián duō dà?,Năm nay bạn bao nhiêu tuổi?,我今年二十岁。,Wǒ jīnnián èrshí suì.,Năm nay tôi 20 tuổi.,Hỏi tuổi thân mật dùng 多大; trả lời số + 岁.,我 / 今年 / 岁
teacher_hsk2_0016,HSK2,Kế hoạch,你明天打算做什么？,Nǐ míngtiān dǎsuàn zuò shénme?,Ngày mai bạn định làm gì?,我明天打算去学校学习汉语。,Wǒ míngtiān dǎsuàn qù xuéxiào xuéxí Hànyǔ.,Ngày mai tôi định đến trường học tiếng Trung.,打算/想/要 đều dùng được để nói kế hoạch.,我 / 明天 / 打算 / 去 / 学习
teacher_hsk2_0017,HSK2,Sau khi,你下课以后做什么？,Nǐ xiàkè yǐhòu zuò shénme?,Sau khi tan học bạn làm gì?,我下课以后回家休息。,Wǒ xiàkè yǐhòu huí jiā xiūxi.,Sau khi tan học tôi về nhà nghỉ ngơi.,以后 đặt sau sự kiện: 下课以后 = sau khi tan học.,我 / 以后 / 回家 / 休息
teacher_hsk2_0018,HSK2,Trước khi,你睡觉以前常常做什么？,Nǐ shuìjiào yǐqián chángcháng zuò shénme?,Trước khi ngủ bạn thường làm gì?,我睡觉以前常常看书。,Wǒ shuìjiào yǐqián chángcháng kàn shū.,Trước khi ngủ tôi thường đọc sách.,以前 đặt sau sự kiện: 睡觉以前.,我 / 以前 / 看书
teacher_hsk2_0019,HSK2,So sánh,汉语和英语，你觉得哪个比较难？,"Hànyǔ hé Yīngyǔ, nǐ juéde nǎge bǐjiào nán?","Tiếng Trung và tiếng Anh, bạn thấy cái nào khó hơn?",我觉得汉语比英语难一点儿。,Wǒ juéde Hànyǔ bǐ Yīngyǔ nán yìdiǎnr.,Tôi thấy tiếng Trung khó hơn tiếng Anh một chút.,A 比 B + tính từ; 一点儿 làm mức độ nhẹ hơn.,我 / 觉得 / 比 / 一点儿
teacher_hsk2_0020,HSK2,Cảm nhận,你觉得今天的课怎么样？,Nǐ juéde jīntiān de kè zěnmeyàng?,Bạn thấy buổi học hôm nay thế nào?,我觉得今天的课很有意思，也不太难。,"Wǒ juéde jīntiān de kè hěn yǒu yìsi, yě bú tài nán.","Tôi thấy buổi học hôm nay rất thú vị, cũng không quá khó.",的 nối định ngữ: 今天的课.,觉得 / 的 / 有意思 / 也
teacher_hsk2_0021,HSK2,Sức khỏe,你身体怎么样？,Nǐ shēntǐ zěnmeyàng?,Sức khỏe của bạn thế nào?,我有点儿累，想休息一下。,"Wǒ yǒudiǎnr lèi, xiǎng xiūxi yíxià.","Tôi hơi mệt, muốn nghỉ một chút.",有点儿 thường dùng cho cảm giác hơi tiêu cực.,我 / 有点儿 / 想 / 一下
teacher_hsk2_0022,HSK2,Đang làm,你正在做什么？,Nǐ zhèngzài zuò shénme?,Bạn đang làm gì?,我正在写作业，写完以后去吃饭。,"Wǒ zhèngzài xiě zuòyè, xiě wán yǐhòu qù chī fàn.","Tôi đang làm bài tập, làm xong rồi đi ăn cơm.",正在 nhấn mạnh hành động đang diễn ra.,我 / 正在 / 以后 / 去
teacher_hsk2_0023,HSK2,Thời tiết dự đoán,明天天气可能怎么样？,Míngtiān tiānqì kěnéng zěnmeyàng?,Thời tiết ngày mai có thể thế nào?,明天可能下雨，所以我要带伞。,"Míngtiān kěnéng xià yǔ, suǒyǐ wǒ yào dài sǎn.",Ngày mai có thể mưa nên tôi cần mang ô.,可能 dùng để phỏng đoán.,明天 / 可能 / 所以 / 要
teacher_hsk2_0024,HSK2,Hỏi đường,从学校到你家远吗？,Cóng xuéxiào dào nǐ jiā yuǎn ma?,Từ trường đến nhà bạn có xa không?,从学校到我家不远，坐公共汽车二十分钟。,"Cóng xuéxiào dào wǒ jiā bù yuǎn, zuò gōnggòng qìchē èrshí fēnzhōng.","Từ trường đến nhà tôi không xa, đi xe buýt 20 phút.",从...到... nói điểm đầu và điểm cuối.,从 / 到 / 我家 / 分钟
teacher_hsk2_0025,HSK2,Mua quần áo,你觉得这件衣服怎么样？,Nǐ juéde zhè jiàn yīfu zěnmeyàng?,Bạn thấy bộ quần áo này thế nào?,我觉得这件衣服很好看，但是有点儿贵。,"Wǒ juéde zhè jiàn yīfu hěn hǎokàn, dànshì yǒudiǎnr guì.","Tôi thấy bộ này đẹp, nhưng hơi đắt.",这件 dùng với quần áo; 但是 nối ý trái ngược.,觉得 / 这件 / 但是 / 有点儿
teacher_hsk2_0026,HSK2,Nhờ giúp,你可以帮我一下吗？,Nǐ kěyǐ bāng wǒ yíxià ma?,Bạn có thể giúp tôi một chút không?,可以，我现在帮你。,"Kěyǐ, wǒ xiànzài bāng nǐ.","Được, bây giờ tôi giúp bạn.",可以 dùng để đồng ý/cho phép. 一下 làm câu mềm hơn.,可以 / 我 / 现在 / 帮
teacher_hsk2_0027,HSK2,Mời bạn,你想和我一起吃饭吗？,Nǐ xiǎng hé wǒ yìqǐ chī fàn ma?,Bạn muốn ăn cơm cùng tôi không?,好啊，我们一起去饭店吃饭吧。,"Hǎo a, wǒmen yìqǐ qù fàndiàn chī fàn ba.","Được đó, chúng ta cùng đến nhà hàng ăn cơm nhé.",吧 làm lời rủ rê nhẹ nhàng hơn.,好 / 我们 / 一起 / 吧
teacher_hsk2_0028,HSK2,Công việc,你每天几点上班？,Nǐ měitiān jǐ diǎn shàngbān?,Mỗi ngày bạn mấy giờ đi làm?,我每天早上八点上班，下午五点下班。,"Wǒ měitiān zǎoshang bā diǎn shàngbān, xiàwǔ wǔ diǎn xiàbān.","Mỗi sáng tôi đi làm lúc 8 giờ, chiều 5 giờ tan làm.",Thời gian cụ thể đặt trước động từ: 八点上班.,我 / 每天 / 早上 / 上班
teacher_hsk2_0029,HSK2,Du lịch,你想去哪儿旅游？,Nǐ xiǎng qù nǎr lǚyóu?,Bạn muốn đi đâu du lịch?,我想去北京旅游，因为我想看长城。,"Wǒ xiǎng qù Běijīng lǚyóu, yīnwèi wǒ xiǎng kàn Chángchéng.",Tôi muốn đi Bắc Kinh du lịch vì tôi muốn xem Vạn Lý Trường Thành.,Muốn đi đâu làm gì: 想去 + địa điểm + hoạt động.,我 / 想 / 去 / 因为
teacher_hsk2_0030,HSK2,Đánh giá món ăn,你觉得这个菜好吃吗？,Nǐ juéde zhège cài hǎochī ma?,Bạn thấy món này ngon không?,我觉得这个菜很好吃，但是有点儿辣。,"Wǒ juéde zhège cài hěn hǎochī, dànshì yǒudiǎnr là.","Tôi thấy món này rất ngon, nhưng hơi cay.",Có thể đánh giá kèm nhượng bộ: 很好吃，但是...,觉得 / 好吃 / 但是 / 有点儿
teacher_hsk2_0031,HSK2,Lời khuyên,如果明天下雨，你怎么办？,"Rúguǒ míngtiān xià yǔ, nǐ zěnme bàn?","Nếu ngày mai mưa, bạn làm thế nào?",如果明天下雨，我就不出去。,"Rúguǒ míngtiān xià yǔ, wǒ jiù bù chūqù.","Nếu ngày mai mưa, tôi sẽ không ra ngoài.",如果...就... là mẫu giả định thường gặp khi giao tiếp.,如果 / 明天 / 就 / 不
teacher_hsk2_0032,HSK2,Trình tự,你早上起床以后先做什么？,Nǐ zǎoshang qǐchuáng yǐhòu xiān zuò shénme?,Buổi sáng sau khi dậy bạn làm gì trước?,我起床以后先喝水，然后吃早饭。,"Wǒ qǐchuáng yǐhòu xiān hē shuǐ, ránhòu chī zǎofàn.","Sau khi dậy tôi uống nước trước, sau đó ăn sáng.",先...然后... giúp câu kể tự nhiên hơn.,以后 / 先 / 然后
teacher_hsk1_0033,HSK1,Sinh hoạt hằng ngày,你今天想做什么？,Nǐ 今天 xiǎng zuò shénme?,Hôm nay bạn muốn làm gì?,我今天想学习汉语。,Wǒ 今天 xiǎng 学习汉语.,Hôm nay tôi muốn học tiếng Trung.,想 + động từ. Bạn có thể đổi hành động miễn đúng ý cá nhân.,我 / 今天 / 想
teacher_hsk1_0034,HSK1,Sinh hoạt hằng ngày,你明天想做什么？,Nǐ 明天 xiǎng zuò shénme?,Ngày mai bạn muốn làm gì?,我明天想学习汉语。,Wǒ 明天 xiǎng 学习汉语.,Ngày mai tôi muốn học tiếng Trung.,想 + động từ. Bạn có thể đổi hành động miễn đúng ý cá nhân.,我 / 明天 / 想
teacher_hsk1_0035,HSK1,Sinh hoạt hằng ngày,你今天晚上想做什么？,Nǐ 今天晚上 xiǎng zuò shénme?,Tối nay bạn muốn làm gì?,我今天晚上想学习汉语。,Wǒ 今天晚上 xiǎng 学习汉语.,Tối nay tôi muốn học tiếng Trung.,想 + động từ. Bạn có thể đổi hành động miễn đúng ý cá nhân.,我 / 今天晚上 / 想
teacher_hsk1_0036,HSK1,Sinh hoạt hằng ngày,你明天早上想做什么？,Nǐ 明天早上 xiǎng zuò shénme?,Sáng mai bạn muốn làm gì?,我明天早上想学习汉语。,Wǒ 明天早上 xiǎng 学习汉语.,Sáng mai tôi muốn học tiếng Trung.,想 + động từ. Bạn có thể đổi hành động miễn đúng ý cá nhân.,我 / 明天早上 / 想
teacher_hsk1_0037,HSK1,Địa điểm,你常常在哪儿学习汉语？,Nǐ chángcháng zài nǎr 学习汉语?,Bạn thường học tiếng Trung ở đâu?,我常常在学校学习汉语。,Wǒ chángcháng zài 学校 学习汉语.,Tôi thường học tiếng Trung ở trường học.,在 + địa điểm + hành động.,我 / 在 / 学校
teacher_hsk1_0038,HSK1,Địa điểm,你常常在哪儿看书？,Nǐ chángcháng zài nǎr 看书?,Bạn thường đọc sách ở đâu?,我常常在学校看书。,Wǒ chángcháng zài 学校 看书.,Tôi thường đọc sách ở trường học.,在 + địa điểm + hành động.,我 / 在 / 学校
teacher_hsk1_0039,HSK1,Địa điểm,你常常在哪儿看电影？,Nǐ chángcháng zài nǎr 看电影?,Bạn thường xem phim ở đâu?,我常常在学校看电影。,Wǒ chángcháng zài 学校 看电影.,Tôi thường xem phim ở trường học.,在 + địa điểm + hành động.,我 / 在 / 学校
teacher_hsk1_0040,HSK1,Địa điểm,你常常在哪儿打电话？,Nǐ chángcháng zài nǎr 打电话?,Bạn thường gọi điện thoại ở đâu?,我常常在学校打电话。,Wǒ chángcháng zài 学校 打电话.,Tôi thường gọi điện thoại ở trường học.,在 + địa điểm + hành động.,我 / 在 / 学校
teacher_hsk2_0041,HSK2,Lý do học,你为什么想学中文？,Nǐ wèishénme xiǎng xué Zhōngwén?,Tại sao bạn muốn học tiếng Trung?,因为我想和中国人说话，所以我想学中文。,"Yīnwèi wǒ 想和中国人说话, suǒyǐ wǒ xiǎng xué Zhōngwén.","Vì tôi muốn nói chuyện với người Trung Quốc, nên tôi muốn học tiếng Trung.",因为...所以...；中文 = 汉语.,因为 / 所以 / 想 / 中文
teacher_hsk2_0042,HSK2,Kế hoạch thời gian,今天你打算去哪儿？,今天 nǐ dǎsuàn qù nǎr?,Hôm nay bạn định đi đâu?,我今天打算去学校。,Wǒ 今天 dǎsuàn qù 学校.,Hôm nay tôi định đi trường học.,打算/想/要 đều được. Thời gian đặt trước 打算/去.,我 / 今天 / 打算 / 去
teacher_hsk2_0043,HSK2,Kế hoạch thời gian,明天你打算去哪儿？,明天 nǐ dǎsuàn qù nǎr?,Ngày mai bạn định đi đâu?,我明天打算去学校。,Wǒ 明天 dǎsuàn qù 学校.,Ngày mai tôi định đi trường học.,打算/想/要 đều được. Thời gian đặt trước 打算/去.,我 / 明天 / 打算 / 去
teacher_hsk2_0044,HSK2,Kế hoạch thời gian,今天晚上你打算去哪儿？,今天晚上 nǐ dǎsuàn qù nǎr?,Tối nay bạn định đi đâu?,我今天晚上打算去学校。,Wǒ 今天晚上 dǎsuàn qù 学校.,Tối nay tôi định đi trường học.,打算/想/要 đều được. Thời gian đặt trước 打算/去.,我 / 今天晚上 / 打算 / 去
teacher_hsk2_0045,HSK2,Kế hoạch thời gian,明天早上你打算去哪儿？,明天早上 nǐ dǎsuàn qù nǎr?,Sáng mai bạn định đi đâu?,我明天早上打算去学校。,Wǒ 明天早上 dǎsuàn qù 学校.,Sáng mai tôi định đi trường học.,打算/想/要 đều được. Thời gian đặt trước 打算/去.,我 / 明天早上 / 打算 / 去
teacher_hsk2_0046,HSK2,Kế hoạch thời gian,周末你打算去哪儿？,周末 nǐ dǎsuàn qù nǎr?,Cuối tuần bạn định đi đâu?,我周末打算去学校。,Wǒ 周末 dǎsuàn qù 学校.,Cuối tuần tôi định đi trường học.,打算/想/要 đều được. Thời gian đặt trước 打算/去.,我 / 周末 / 打算 / 去
teacher_hsk2_0047,HSK2,Kinh nghiệm,你去过学校吗？,Nǐ qù guo 学校 ma?,Bạn đã từng đi trường học chưa?,我去过学校，但是只去过一次。,"Wǒ qù guo 学校, dànshì zhǐ qù guo yí cì.","Tôi đã từng đi trường học, nhưng chỉ đi một lần.",过 nói kinh nghiệm; 次 nói số lần.,我 / 去过 / 但是 / 次
teacher_hsk2_0048,HSK2,Kinh nghiệm,你去过公司吗？,Nǐ qù guo 公司 ma?,Bạn đã từng đi công ty chưa?,我去过公司，但是只去过一次。,"Wǒ qù guo 公司, dànshì zhǐ qù guo yí cì.","Tôi đã từng đi công ty, nhưng chỉ đi một lần.",过 nói kinh nghiệm; 次 nói số lần.,我 / 去过 / 但是 / 次
teacher_hsk2_0049,HSK2,Kinh nghiệm,你去过商店吗？,Nǐ qù guo 商店 ma?,Bạn đã từng đi cửa hàng chưa?,我去过商店，但是只去过一次。,"Wǒ qù guo 商店, dànshì zhǐ qù guo yí cì.","Tôi đã từng đi cửa hàng, nhưng chỉ đi một lần.",过 nói kinh nghiệm; 次 nói số lần.,我 / 去过 / 但是 / 次
