id,level,topic,vi_sentence,answer_zh,pinyin,grammar_focus,focus_words
daily_vi_0011,HSK1,Mua đồ,Hôm nay tôi muốn đi bệnh viện mua một ít sách.,我今天想去医院买一点儿书。,wǒ jīntiān xiǎng qù yīyuàn mǎi yìdiǎnr shū.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 医院 / 买 / 一点儿 / 书
daily_vi_0012,HSK1,Mua đồ,Hôm nay tôi muốn đi bệnh viện mua một ít nước.,我今天想去医院买一点儿水。,wǒ jīntiān xiǎng qù yīyuàn mǎi yìdiǎnr shuǐ.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 医院 / 买 / 一点儿 / 水
daily_vi_0013,HSK1,Mua đồ,Hôm nay tôi muốn đi cửa hàng mua một ít trái cây.,我今天想去商店买一点儿水果。,wǒ jīntiān xiǎng qù shāngdiàn mǎi yìdiǎnr shuǐguǒ.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 商店 / 买 / 一点儿 / 水果
daily_vi_0014,HSK1,Mua đồ,Hôm nay tôi muốn đi cửa hàng mua một ít trà.,我今天想去商店买一点儿茶。,wǒ jīntiān xiǎng qù shāngdiàn mǎi yìdiǎnr chá.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 商店 / 买 / 一点儿 / 茶
daily_vi_0015,HSK1,Mua đồ,Hôm nay tôi muốn đi cửa hàng mua một ít cơm.,我今天想去商店买一点儿米饭。,wǒ jīntiān xiǎng qù shāngdiàn mǎi yìdiǎnr mǐfàn.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 商店 / 买 / 一点儿 / 米饭
daily_vi_0016,HSK1,Mua đồ,Hôm nay tôi muốn đi cửa hàng mua một ít quần áo.,我今天想去商店买一点儿衣服。,wǒ jīntiān xiǎng qù shāngdiàn mǎi yìdiǎnr yīfu.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 商店 / 买 / 一点儿 / 衣服
daily_vi_0017,HSK1,Mua đồ,Hôm nay tôi muốn đi cửa hàng mua một ít sách.,我今天想去商店买一点儿书。,wǒ jīntiān xiǎng qù shāngdiàn mǎi yìdiǎnr shū.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 商店 / 买 / 一点儿 / 书
daily_vi_0018,HSK1,Mua đồ,Hôm nay tôi muốn đi cửa hàng mua một ít nước.,我今天想去商店买一点儿水。,wǒ jīntiān xiǎng qù shāngdiàn mǎi yìdiǎnr shuǐ.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 商店 / 买 / 一点儿 / 水
daily_vi_0019,HSK1,Mua đồ,Hôm nay tôi muốn đi nhà hàng mua một ít trái cây.,我今天想去饭店买一点儿水果。,wǒ jīntiān xiǎng qù fàndiàn mǎi yìdiǎnr shuǐguǒ.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 饭店 / 买 / 一点儿 / 水果
daily_vi_0020,HSK1,Mua đồ,Hôm nay tôi muốn đi nhà hàng mua một ít trà.,我今天想去饭店买一点儿茶。,wǒ jīntiān xiǎng qù fàndiàn mǎi yìdiǎnr chá.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 饭店 / 买 / 一点儿 / 茶
daily_vi_0021,HSK1,Mua đồ,Hôm nay tôi muốn đi nhà hàng mua một ít cơm.,我今天想去饭店买一点儿米饭。,wǒ jīntiān xiǎng qù fàndiàn mǎi yìdiǎnr mǐfàn.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 饭店 / 买 / 一点儿 / 米饭
daily_vi_0022,HSK1,Mua đồ,Hôm nay tôi muốn đi nhà hàng mua một ít quần áo.,我今天想去饭店买一点儿衣服。,wǒ jīntiān xiǎng qù fàndiàn mǎi yìdiǎnr yīfu.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 饭店 / 买 / 一点儿 / 衣服
daily_vi_0023,HSK1,Mua đồ,Hôm nay tôi muốn đi nhà hàng mua một ít sách.,我今天想去饭店买一点儿书。,wǒ jīntiān xiǎng qù fàndiàn mǎi yìdiǎnr shū.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 饭店 / 买 / 一点儿 / 书
daily_vi_0024,HSK1,Mua đồ,Hôm nay tôi muốn đi nhà hàng mua một ít nước.,我今天想去饭店买一点儿水。,wǒ jīntiān xiǎng qù fàndiàn mǎi yìdiǎnr shuǐ.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 饭店 / 买 / 一点儿 / 水
daily_vi_0025,HSK1,Mua đồ,Hôm nay tôi muốn đi công ty mua một ít trái cây.,我今天想去公司买一点儿水果。,wǒ jīntiān xiǎng qù gōngsī mǎi yìdiǎnr shuǐguǒ.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 公司 / 买 / 一点儿 / 水果
daily_vi_0026,HSK1,Mua đồ,Hôm nay tôi muốn đi công ty mua một ít trà.,我今天想去公司买一点儿茶。,wǒ jīntiān xiǎng qù gōngsī mǎi yìdiǎnr chá.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 公司 / 买 / 一点儿 / 茶
daily_vi_0027,HSK1,Mua đồ,Hôm nay tôi muốn đi công ty mua một ít cơm.,我今天想去公司买一点儿米饭。,wǒ jīntiān xiǎng qù gōngsī mǎi yìdiǎnr mǐfàn.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 公司 / 买 / 一点儿 / 米饭
daily_vi_0028,HSK1,Mua đồ,Hôm nay tôi muốn đi công ty mua một ít quần áo.,我今天想去公司买一点儿衣服。,wǒ jīntiān xiǎng qù gōngsī mǎi yìdiǎnr yīfu.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 公司 / 买 / 一点儿 / 衣服
daily_vi_0029,HSK1,Mua đồ,Hôm nay tôi muốn đi công ty mua một ít sách.,我今天想去公司买一点儿书。,wǒ jīntiān xiǎng qù gōngsī mǎi yìdiǎnr shū.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 公司 / 买 / 一点儿 / 书
daily_vi_0030,HSK1,Mua đồ,Hôm nay tôi muốn đi công ty mua một ít nước.,我今天想去公司买一点儿水。,wǒ jīntiān xiǎng qù gōngsī mǎi yìdiǎnr shuǐ.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 公司 / 买 / 一点儿 / 水
daily_vi_0031,HSK1,Mua đồ,Hôm nay bạn tôi muốn đi trường học mua một ít trái cây.,我朋友今天想去学校买一点儿水果。,wǒ péngyou jīntiān xiǎng qù xuéxiào mǎi yìdiǎnr shuǐguǒ.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 学校 / 买 / 一点儿 / 水果
daily_vi_0032,HSK1,Mua đồ,Hôm nay bạn tôi muốn đi trường học mua một ít trà.,我朋友今天想去学校买一点儿茶。,wǒ péngyou jīntiān xiǎng qù xuéxiào mǎi yìdiǎnr chá.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 学校 / 买 / 一点儿 / 茶
daily_vi_0033,HSK1,Mua đồ,Hôm nay bạn tôi muốn đi trường học mua một ít cơm.,我朋友今天想去学校买一点儿米饭。,wǒ péngyou jīntiān xiǎng qù xuéxiào mǎi yìdiǎnr mǐfàn.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 学校 / 买 / 一点儿 / 米饭
daily_vi_0034,HSK1,Mua đồ,Hôm nay bạn tôi muốn đi trường học mua một ít quần áo.,我朋友今天想去学校买一点儿衣服。,wǒ péngyou jīntiān xiǎng qù xuéxiào mǎi yìdiǎnr yīfu.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 学校 / 买 / 一点儿 / 衣服
daily_vi_0035,HSK1,Mua đồ,Hôm nay bạn tôi muốn đi trường học mua một ít sách.,我朋友今天想去学校买一点儿书。,wǒ péngyou jīntiān xiǎng qù xuéxiào mǎi yìdiǎnr shū.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 学校 / 买 / 一点儿 / 书
daily_vi_0036,HSK1,Mua đồ,Hôm nay bạn tôi muốn đi trường học mua một ít nước.,我朋友今天想去学校买一点儿水。,wǒ péngyou jīntiān xiǎng qù xuéxiào mǎi yìdiǎnr shuǐ.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 学校 / 买 / 一点儿 / 水
daily_vi_0037,HSK1,Mua đồ,Hôm nay bạn tôi muốn đi bệnh viện mua một ít trái cây.,我朋友今天想去医院买一点儿水果。,wǒ péngyou jīntiān xiǎng qù yīyuàn mǎi yìdiǎnr shuǐguǒ.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 医院 / 买 / 一点儿 / 水果
daily_vi_0038,HSK1,Mua đồ,Hôm nay bạn tôi muốn đi bệnh viện mua một ít trà.,我朋友今天想去医院买一点儿茶。,wǒ péngyou jīntiān xiǎng qù yīyuàn mǎi yìdiǎnr chá.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 医院 / 买 / 一点儿 / 茶
daily_vi_0039,HSK1,Mua đồ,Hôm nay bạn tôi muốn đi bệnh viện mua một ít cơm.,我朋友今天想去医院买一点儿米饭。,wǒ péngyou jīntiān xiǎng qù yīyuàn mǎi yìdiǎnr mǐfàn.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 医院 / 买 / 一点儿 / 米饭
daily_vi_0040,HSK1,Mua đồ,Hôm nay bạn tôi muốn đi bệnh viện mua một ít quần áo.,我朋友今天想去医院买一点儿衣服。,wǒ péngyou jīntiān xiǎng qù yīyuàn mǎi yìdiǎnr yīfu.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 医院 / 买 / 一点儿 / 衣服
daily_vi_0041,HSK1,Mua đồ,Hôm nay bạn tôi muốn đi bệnh viện mua một ít sách.,我朋友今天想去医院买一点儿书。,wǒ péngyou jīntiān xiǎng qù yīyuàn mǎi yìdiǎnr shū.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 医院 / 买 / 一点儿 / 书
daily_vi_0042,HSK1,Mua đồ,Hôm nay bạn tôi muốn đi bệnh viện mua một ít nước.,我朋友今天想去医院买一点儿水。,wǒ péngyou jīntiān xiǎng qù yīyuàn mǎi yìdiǎnr shuǐ.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 医院 / 买 / 一点儿 / 水
daily_vi_0043,HSK1,Mua đồ,Hôm nay bạn tôi muốn đi cửa hàng mua một ít trái cây.,我朋友今天想去商店买一点儿水果。,wǒ péngyou jīntiān xiǎng qù shāngdiàn mǎi yìdiǎnr shuǐguǒ.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 商店 / 买 / 一点儿 / 水果
daily_vi_0044,HSK1,Mua đồ,Hôm nay bạn tôi muốn đi cửa hàng mua một ít trà.,我朋友今天想去商店买一点儿茶。,wǒ péngyou jīntiān xiǎng qù shāngdiàn mǎi yìdiǎnr chá.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 商店 / 买 / 一点儿 / 茶
daily_vi_0045,HSK1,Mua đồ,Hôm nay bạn tôi muốn đi cửa hàng mua một ít cơm.,我朋友今天想去商店买一点儿米饭。,wǒ péngyou jīntiān xiǎng qù shāngdiàn mǎi yìdiǎnr mǐfàn.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 商店 / 买 / 一点儿 / 米饭
daily_vi_0046,HSK1,Mua đồ,Hôm nay bạn tôi muốn đi cửa hàng mua một ít quần áo.,我朋友今天想去商店买一点儿衣服。,wǒ péngyou jīntiān xiǎng qù shāngdiàn mǎi yìdiǎnr yīfu.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 商店 / 买 / 一点儿 / 衣服
daily_vi_0047,HSK1,Mua đồ,Hôm nay bạn tôi muốn đi cửa hàng mua một ít sách.,我朋友今天想去商店买一点儿书。,wǒ péngyou jīntiān xiǎng qù shāngdiàn mǎi yìdiǎnr shū.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 商店 / 买 / 一点儿 / 书
daily_vi_0048,HSK1,Mua đồ,Hôm nay bạn tôi muốn đi cửa hàng mua một ít nước.,我朋友今天想去商店买一点儿水。,wǒ péngyou jīntiān xiǎng qù shāngdiàn mǎi yìdiǎnr shuǐ.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 商店 / 买 / 一点儿 / 水
daily_vi_0049,HSK1,Mua đồ,Hôm nay bạn tôi muốn đi nhà hàng mua một ít trái cây.,我朋友今天想去饭店买一点儿水果。,wǒ péngyou jīntiān xiǎng qù fàndiàn mǎi yìdiǎnr shuǐguǒ.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 饭店 / 买 / 一点儿 / 水果
daily_vi_0050,HSK1,Mua đồ,Hôm nay bạn tôi muốn đi nhà hàng mua một ít trà.,我朋友今天想去饭店买一点儿茶。,wǒ péngyou jīntiān xiǎng qù fàndiàn mǎi yìdiǎnr chá.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 饭店 / 买 / 一点儿 / 茶
daily_vi_0051,HSK1,Mua đồ,Hôm nay bạn tôi muốn đi nhà hàng mua một ít cơm.,我朋友今天想去饭店买一点儿米饭。,wǒ péngyou jīntiān xiǎng qù fàndiàn mǎi yìdiǎnr mǐfàn.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 饭店 / 买 / 一点儿 / 米饭
daily_vi_0052,HSK1,Mua đồ,Hôm nay bạn tôi muốn đi nhà hàng mua một ít quần áo.,我朋友今天想去饭店买一点儿衣服。,wǒ péngyou jīntiān xiǎng qù fàndiàn mǎi yìdiǎnr yīfu.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 饭店 / 买 / 一点儿 / 衣服
daily_vi_0053,HSK1,Mua đồ,Hôm nay bạn tôi muốn đi nhà hàng mua một ít sách.,我朋友今天想去饭店买一点儿书。,wǒ péngyou jīntiān xiǎng qù fàndiàn mǎi yìdiǎnr shū.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 饭店 / 买 / 一点儿 / 书
daily_vi_0054,HSK1,Mua đồ,Hôm nay bạn tôi muốn đi nhà hàng mua một ít nước.,我朋友今天想去饭店买一点儿水。,wǒ péngyou jīntiān xiǎng qù fàndiàn mǎi yìdiǎnr shuǐ.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 饭店 / 买 / 一点儿 / 水
daily_vi_0055,HSK1,Mua đồ,Hôm nay bạn tôi muốn đi công ty mua một ít trái cây.,我朋友今天想去公司买一点儿水果。,wǒ péngyou jīntiān xiǎng qù gōngsī mǎi yìdiǎnr shuǐguǒ.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 公司 / 买 / 一点儿 / 水果
daily_vi_0056,HSK1,Mua đồ,Hôm nay bạn tôi muốn đi công ty mua một ít trà.,我朋友今天想去公司买一点儿茶。,wǒ péngyou jīntiān xiǎng qù gōngsī mǎi yìdiǎnr chá.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 公司 / 买 / 一点儿 / 茶
daily_vi_0057,HSK1,Mua đồ,Hôm nay bạn tôi muốn đi công ty mua một ít cơm.,我朋友今天想去公司买一点儿米饭。,wǒ péngyou jīntiān xiǎng qù gōngsī mǎi yìdiǎnr mǐfàn.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 公司 / 买 / 一点儿 / 米饭
daily_vi_0058,HSK1,Mua đồ,Hôm nay bạn tôi muốn đi công ty mua một ít quần áo.,我朋友今天想去公司买一点儿衣服。,wǒ péngyou jīntiān xiǎng qù gōngsī mǎi yìdiǎnr yīfu.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 公司 / 买 / 一点儿 / 衣服
daily_vi_0059,HSK1,Mua đồ,Hôm nay bạn tôi muốn đi công ty mua một ít sách.,我朋友今天想去公司买一点儿书。,wǒ péngyou jīntiān xiǎng qù gōngsī mǎi yìdiǎnr shū.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 公司 / 买 / 一点儿 / 书
daily_vi_0060,HSK1,Mua đồ,Hôm nay bạn tôi muốn đi công ty mua một ít nước.,我朋友今天想去公司买一点儿水。,wǒ péngyou jīntiān xiǎng qù gōngsī mǎi yìdiǎnr shuǐ.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 公司 / 买 / 一点儿 / 水
daily_vi_0061,HSK1,Mua đồ,Hôm nay mẹ tôi muốn đi trường học mua một ít trái cây.,我妈妈今天想去学校买一点儿水果。,wǒ māma jīntiān xiǎng qù xuéxiào mǎi yìdiǎnr shuǐguǒ.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 学校 / 买 / 一点儿 / 水果
daily_vi_0062,HSK1,Mua đồ,Hôm nay mẹ tôi muốn đi trường học mua một ít trà.,我妈妈今天想去学校买一点儿茶。,wǒ māma jīntiān xiǎng qù xuéxiào mǎi yìdiǎnr chá.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 学校 / 买 / 一点儿 / 茶
daily_vi_0063,HSK1,Mua đồ,Hôm nay mẹ tôi muốn đi trường học mua một ít cơm.,我妈妈今天想去学校买一点儿米饭。,wǒ māma jīntiān xiǎng qù xuéxiào mǎi yìdiǎnr mǐfàn.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 学校 / 买 / 一点儿 / 米饭
daily_vi_0064,HSK1,Mua đồ,Hôm nay mẹ tôi muốn đi trường học mua một ít quần áo.,我妈妈今天想去学校买一点儿衣服。,wǒ māma jīntiān xiǎng qù xuéxiào mǎi yìdiǎnr yīfu.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 学校 / 买 / 一点儿 / 衣服
daily_vi_0065,HSK1,Mua đồ,Hôm nay mẹ tôi muốn đi trường học mua một ít sách.,我妈妈今天想去学校买一点儿书。,wǒ māma jīntiān xiǎng qù xuéxiào mǎi yìdiǎnr shū.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 学校 / 买 / 一点儿 / 书
daily_vi_0066,HSK1,Mua đồ,Hôm nay mẹ tôi muốn đi trường học mua một ít nước.,我妈妈今天想去学校买一点儿水。,wǒ māma jīntiān xiǎng qù xuéxiào mǎi yìdiǎnr shuǐ.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 学校 / 买 / 一点儿 / 水
daily_vi_0067,HSK1,Mua đồ,Hôm nay mẹ tôi muốn đi bệnh viện mua một ít trái cây.,我妈妈今天想去医院买一点儿水果。,wǒ māma jīntiān xiǎng qù yīyuàn mǎi yìdiǎnr shuǐguǒ.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 医院 / 买 / 一点儿 / 水果
daily_vi_0068,HSK1,Mua đồ,Hôm nay mẹ tôi muốn đi bệnh viện mua một ít trà.,我妈妈今天想去医院买一点儿茶。,wǒ māma jīntiān xiǎng qù yīyuàn mǎi yìdiǎnr chá.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 医院 / 买 / 一点儿 / 茶
daily_vi_0069,HSK1,Mua đồ,Hôm nay mẹ tôi muốn đi bệnh viện mua một ít cơm.,我妈妈今天想去医院买一点儿米饭。,wǒ māma jīntiān xiǎng qù yīyuàn mǎi yìdiǎnr mǐfàn.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 医院 / 买 / 一点儿 / 米饭
daily_vi_0070,HSK1,Mua đồ,Hôm nay mẹ tôi muốn đi bệnh viện mua một ít quần áo.,我妈妈今天想去医院买一点儿衣服。,wǒ māma jīntiān xiǎng qù yīyuàn mǎi yìdiǎnr yīfu.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 医院 / 买 / 一点儿 / 衣服
daily_vi_0071,HSK1,Mua đồ,Hôm nay mẹ tôi muốn đi bệnh viện mua một ít sách.,我妈妈今天想去医院买一点儿书。,wǒ māma jīntiān xiǎng qù yīyuàn mǎi yìdiǎnr shū.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 医院 / 买 / 一点儿 / 书
daily_vi_0072,HSK1,Mua đồ,Hôm nay mẹ tôi muốn đi bệnh viện mua một ít nước.,我妈妈今天想去医院买一点儿水。,wǒ māma jīntiān xiǎng qù yīyuàn mǎi yìdiǎnr shuǐ.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 医院 / 买 / 一点儿 / 水
daily_vi_0073,HSK1,Mua đồ,Hôm nay mẹ tôi muốn đi cửa hàng mua một ít trái cây.,我妈妈今天想去商店买一点儿水果。,wǒ māma jīntiān xiǎng qù shāngdiàn mǎi yìdiǎnr shuǐguǒ.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 商店 / 买 / 一点儿 / 水果
daily_vi_0074,HSK1,Mua đồ,Hôm nay mẹ tôi muốn đi cửa hàng mua một ít trà.,我妈妈今天想去商店买一点儿茶。,wǒ māma jīntiān xiǎng qù shāngdiàn mǎi yìdiǎnr chá.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 商店 / 买 / 一点儿 / 茶
daily_vi_0075,HSK1,Mua đồ,Hôm nay mẹ tôi muốn đi cửa hàng mua một ít cơm.,我妈妈今天想去商店买一点儿米饭。,wǒ māma jīntiān xiǎng qù shāngdiàn mǎi yìdiǎnr mǐfàn.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 商店 / 买 / 一点儿 / 米饭
daily_vi_0076,HSK1,Mua đồ,Hôm nay mẹ tôi muốn đi cửa hàng mua một ít quần áo.,我妈妈今天想去商店买一点儿衣服。,wǒ māma jīntiān xiǎng qù shāngdiàn mǎi yìdiǎnr yīfu.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 商店 / 买 / 一点儿 / 衣服
daily_vi_0077,HSK1,Mua đồ,Hôm nay mẹ tôi muốn đi cửa hàng mua một ít sách.,我妈妈今天想去商店买一点儿书。,wǒ māma jīntiān xiǎng qù shāngdiàn mǎi yìdiǎnr shū.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 商店 / 买 / 一点儿 / 书
daily_vi_0078,HSK1,Mua đồ,Hôm nay mẹ tôi muốn đi cửa hàng mua một ít nước.,我妈妈今天想去商店买一点儿水。,wǒ māma jīntiān xiǎng qù shāngdiàn mǎi yìdiǎnr shuǐ.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 商店 / 买 / 一点儿 / 水
daily_vi_0079,HSK1,Mua đồ,Hôm nay mẹ tôi muốn đi nhà hàng mua một ít trái cây.,我妈妈今天想去饭店买一点儿水果。,wǒ māma jīntiān xiǎng qù fàndiàn mǎi yìdiǎnr shuǐguǒ.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 饭店 / 买 / 一点儿 / 水果
daily_vi_0080,HSK1,Mua đồ,Hôm nay mẹ tôi muốn đi nhà hàng mua một ít trà.,我妈妈今天想去饭店买一点儿茶。,wǒ māma jīntiān xiǎng qù fàndiàn mǎi yìdiǎnr chá.,想 + 去 + 买；一点儿 + danh từ,想 / 去 / 饭店 / 买 / 一点儿 / 茶
daily_vi_0081,HSK1,Hoạt động hằng ngày,Hôm nay tôi đang ở trường học học tiếng Trung.,我今天在学校学习汉语。,wǒ jīntiān zài xuéxiào xuéxí Hànyǔ.,在 + địa điểm + động từ,今天 / 在 / 学校 / 学习汉语
daily_vi_0082,HSK1,Hoạt động hằng ngày,Hôm nay tôi đang ở trường học đọc sách.,我今天在学校看书。,wǒ jīntiān zài xuéxiào kàn shū.,在 + địa điểm + động từ,今天 / 在 / 学校 / 看书
daily_vi_0083,HSK1,Hoạt động hằng ngày,Hôm nay tôi đang ở trường học xem phim.,我今天在学校看电影。,wǒ jīntiān zài xuéxiào kàn diànyǐng.,在 + địa điểm + động từ,今天 / 在 / 学校 / 看电影
daily_vi_0084,HSK1,Hoạt động hằng ngày,Hôm nay tôi đang ở trường học nghe thầy giáo nói.,我今天在学校听老师说话。,wǒ jīntiān zài xuéxiào tīng lǎoshī shuōhuà.,在 + địa điểm + động từ,今天 / 在 / 学校 / 听老师说话
daily_vi_0085,HSK1,Hoạt động hằng ngày,Hôm nay tôi đang ở trường học gọi điện thoại.,我今天在学校打电话。,wǒ jīntiān zài xuéxiào dǎ diànhuà.,在 + địa điểm + động từ,今天 / 在 / 学校 / 打电话
daily_vi_0086,HSK1,Hoạt động hằng ngày,Hôm nay tôi đang ở trường học nghỉ ngơi.,我今天在学校休息。,wǒ jīntiān zài xuéxiào xiūxi.,在 + địa điểm + động từ,今天 / 在 / 学校 / 休息
daily_vi_0087,HSK1,Hoạt động hằng ngày,Hôm nay tôi đang ở bệnh viện học tiếng Trung.,我今天在医院学习汉语。,wǒ jīntiān zài yīyuàn xuéxí Hànyǔ.,在 + địa điểm + động từ,今天 / 在 / 医院 / 学习汉语
daily_vi_0088,HSK1,Hoạt động hằng ngày,Hôm nay tôi đang ở bệnh viện đọc sách.,我今天在医院看书。,wǒ jīntiān zài yīyuàn kàn shū.,在 + địa điểm + động từ,今天 / 在 / 医院 / 看书
